Rate	As of Date
0.00026731	01/02/2024
0.00013392	01/03/2024
0.00013540	01/04/2024
0.00013385	01/05/2024
0.00040081	01/08/2024
0.00013375	01/09/2024
0.00013380	01/10/2024
0.00013418	01/11/2024
0.00013405	01/12/2024
0.00053360	01/16/2024
0.00013421	01/17/2024
0.00013379	01/18/2024
0.00013373	01/19/2024
0.00039812	01/22/2024
0.00013376	01/23/2024
0.00013374	01/24/2024
0.00013510	01/25/2024
0.00013373	01/26/2024
0.00040868	01/29/2024
0.00013386	01/30/2024
0.00013391	01/31/2024
0.00013322	02/01/2024
0.00013320	02/02/2024
0.00040118	02/05/2024
0.00013337	02/06/2024
0.00013327	02/07/2024
0.00013330	02/08/2024
0.00013332	02/09/2024
0.00040022	02/12/2024
0.00013333	02/13/2024
0.00013334	02/14/2024
0.00013335	02/15/2024
0.00013303	02/16/2024
0.00051921	02/20/2024
0.00013327	02/21/2024
0.00013341	02/22/2024
0.00013481	02/23/2024
0.00039465	02/26/2024
0.00013345	02/27/2024
0.00013347	02/28/2024
0.00013352	02/29/2024
0.00013298	03/01/2024
0.00039913	03/04/2024
0.00013438	03/05/2024
0.00013275	03/06/2024
0.00013303	03/07/2024
0.00013303	03/08/2024
0.00039921	03/11/2024
0.00013259	03/12/2024
0.00013310	03/13/2024
0.00013289	03/14/2024
0.00013304	03/15/2024
0.00039469	03/18/2024
0.00013308	03/19/2024
0.00013315	03/20/2024
0.00013314	03/21/2024
0.00013434	03/22/2024
0.00039957	03/25/2024
0.00013285	03/26/2024
0.00013323	03/27/2024
0.00053305	03/28/2024
0.00013285	04/01/2024
0.00013285	04/02/2024
0.00013418	04/03/2024
0.00013287	04/04/2024
0.00013282	04/05/2024
0.00039836	04/08/2024
0.00013268	04/09/2024
0.00013286	04/10/2024
0.00013290	04/11/2024
0.00013290	04/12/2024
0.00039856	04/15/2024
0.00013300	04/16/2024
0.00013307	04/17/2024
0.00013277	04/18/2024
0.00013352	04/19/2024
0.00039347	04/22/2024
0.00013327	04/23/2024
0.00013429	04/24/2024
0.00013303	04/25/2024
0.00013334	04/26/2024
0.00041305	04/29/2024
0.00013358	04/30/2024
0.00013298	05/01/2024
0.00013287	05/02/2024
0.00013434	05/03/2024
0.00039874	05/06/2024
0.00013300	05/07/2024
0.00013300	05/08/2024
0.00013303	05/09/2024
0.00013294	05/10/2024
0.00039886	05/13/2024
0.00013320	05/14/2024
0.00013302	05/15/2024
0.00013327	05/16/2024
0.00013311	05/17/2024
0.00039910	05/20/2024
0.00013330	05/21/2024
0.00013324	05/22/2024
0.00013260	05/23/2024
0.00013389	05/24/2024
0.00052768	05/28/2024
0.00013353	05/29/2024
0.00013352	05/30/2024
0.00013355	05/31/2024
0.00039885	06/03/2024
0.00013272	06/04/2024
0.00013536	06/05/2024
0.00013303	06/06/2024
0.00013310	06/07/2024
0.00039920	06/10/2024
0.00013320	06/11/2024
0.00013301	06/12/2024
0.00013170	06/13/2024
0.00013303	06/14/2024
0.00039962	06/17/2024
0.00013361	06/18/2024
0.00026668	06/20/2024
0.00013327	06/21/2024
0.00040037	06/24/2024
0.00013298	06/25/2024
0.00013435	06/26/2024
0.00013341	06/27/2024
0.00039339	06/28/2024
0.00013298	07/01/2024
0.00013287	07/02/2024
0.00013419	07/03/2024
0.00026593	07/05/2024
0.00039925	07/08/2024
0.00013318	07/09/2024
0.00013309	07/10/2024
0.00013321	07/11/2024
0.00013410	07/12/2024
0.00039949	07/15/2024
0.00013378	07/16/2024
0.00013318	07/17/2024
0.00013322	07/18/2024
0.00013338	07/19/2024
0.00039208	07/22/2024
0.00013326	07/23/2024
0.00013310	07/24/2024
0.00013406	07/25/2024
0.00013328	07/26/2024
0.00040709	07/29/2024
0.00013328	07/30/2024
0.00013330	07/31/2024
0.00013275	08/01/2024
0.00013277	08/02/2024
0.00039947	08/05/2024
0.00013245	08/06/2024
0.00013238	08/07/2024
0.00013251	08/08/2024
0.00013252	08/09/2024
0.00039766	08/12/2024
0.00013263	08/13/2024
0.00013260	08/14/2024
0.00013241	08/15/2024
0.00013345	08/16/2024
0.00039642	08/19/2024
0.00013228	08/20/2024
0.00013239	08/21/2024
0.00013232	08/22/2024
0.00013257	08/23/2024
0.00039313	08/26/2024
0.00013227	08/27/2024
0.00013237	08/28/2024
0.00013222	08/29/2024
0.00025289	08/30/2024
0.00039419	09/03/2024
0.00013143	09/04/2024
0.00013159	09/05/2024
0.00013315	09/06/2024
0.00039439	09/09/2024
0.00013143	09/10/2024
0.00013140	09/11/2024
0.00013074	09/12/2024
0.00013116	09/13/2024
0.00039359	09/16/2024
0.00013203	09/17/2024
0.00013146	09/18/2024
0.00012935	09/19/2024
0.00012804	09/20/2024
0.00037727	09/23/2024
0.00012732	09/24/2024
0.00012644	09/25/2024
0.00012563	09/26/2024
0.00012539	09/27/2024
0.00037639	09/30/2024
0.00012437	10/01/2024
0.00012497	10/02/2024
0.00012630	10/03/2024
0.00012365	10/04/2024
0.00037004	10/07/2024
0.00012297	10/08/2024
0.00012220	10/09/2024
0.00012229	10/10/2024
0.00012168	10/11/2024
0.00036648	10/14/2024
0.00012168	10/15/2024
0.00012150	10/16/2024
0.00012132	10/17/2024
0.00012103	10/18/2024
0.00036014	10/21/2024
0.00012013	10/22/2024
0.00011984	10/23/2024
0.00011966	10/24/2024
0.00012015	10/25/2024
0.00036885	10/28/2024
0.00011927	10/29/2024
0.00011915	10/30/2024
0.00011907	10/31/2024
0.00011843	11/01/2024
0.00035550	11/04/2024
0.00011894	11/05/2024
0.00011752	11/06/2024
0.00011770	11/07/2024
0.00011692	11/08/2024
0.00035200	11/11/2024
0.00011643	11/12/2024
0.00011506	11/13/2024
0.00011523	11/14/2024
0.00011515	11/15/2024
0.00034552	11/18/2024
0.00011481	11/19/2024
0.00011481	11/20/2024
0.00011464	11/21/2024
0.00011393	11/22/2024
0.00033829	11/25/2024
0.00011386	11/26/2024
0.00011096	11/27/2024
0.00034031	11/29/2024
0.00022575	12/02/2024
0.00011273	12/03/2024
0.00011380	12/04/2024
0.00011256	12/05/2024
0.00011234	12/06/2024
0.00033792	12/09/2024
0.00011235	12/10/2024
0.00011242	12/11/2024
0.00011199	12/12/2024
0.00011167	12/13/2024
0.00033554	12/16/2024
0.00011194	12/17/2024
0.00011160	12/18/2024
0.00009398	12/19/2024
0.00011001	12/20/2024
0.00031429	12/23/2024
0.00011051	12/24/2024
0.00021942	12/26/2024
0.00011009	12/27/2024
0.00033078	12/30/2024
0.00010956	12/31/2024
0.00021747	01/02/2025
0.00010930	01/03/2025
0.00032575	01/06/2025
0.00010794	01/07/2025
0.00010771	01/08/2025
0.00010751	01/09/2025
0.00010872	01/10/2025
0.00032385	01/13/2025
0.00010704	01/14/2025
0.00010793	01/15/2025
0.00010730	01/16/2025
0.00010712	01/17/2025
0.00042928	01/21/2025
0.00010706	01/22/2025
0.00010173	01/23/2025
0.00010726	01/24/2025
0.00032984	01/27/2025
0.00010712	01/28/2025
0.00010699	01/29/2025
0.00010695	01/30/2025
0.00010688	01/31/2025
0.00031939	02/03/2025
0.00010643	02/04/2025
0.00010687	02/05/2025
0.00010736	02/06/2025
0.00010612	02/07/2025
0.00031938	02/10/2025
0.00010609	02/11/2025
0.00010599	02/12/2025
0.00010600	02/13/2025
0.00010577	02/14/2025
0.00042388	02/18/2025
0.00010597	02/19/2025
0.00010562	02/20/2025
0.00010590	02/21/2025
0.00030173	02/24/2025
0.00010574	02/25/2025
0.00010570	02/26/2025
0.00010551	02/27/2025
0.00010574	02/28/2025
